Date,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharti Airtel,Bharat Petroleum,Britannia Industries,Cipla,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC,HDFC Bank,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,IndusInd Bank,Infosys,ITC Limited,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,Nestlé India,NTPC,Oil and Natural Gas Corporation,Power Grid Corporation of India,Reliance Industries,State Bank of India,Shree Cements,Sun Pharmaceutical,Tata Motors,Tata Steel,Tata Consultancy Services,Tata Consumer Products,Tech Mahindra,Titan Company,UltraTech Cement,United Phosphorus Limited,Wipro
Sector,Infrastructure ,Healthcare ,Consumer Goods ,Banking ,Automobile ,Financial Services ,Financial Services ,Telecommunication ,Energy - Oil & Gas ,Consumer Goods ,Pharmaceuticals ,Pharmaceuticals ,Pharmaceuticals ,Automobile ,Cement ,Information Technology ,Financial Services ,Banking ,Automobile ,Metals ,Consumer Goods ,Banking ,Banking ,Information Technology ,Consumer Goods ,Metals ,Banking ,Construction ,Automobile ,Automobile ,Consumer Goods ,Energy - Power ,Energy - Oil & Gas ,Energy - Power ,Energy - Oil & Gas ,Banking ,Cement ,Pharmaceuticals ,Automobile ,Metals ,Information Technology ,Consumer Goods ,Information Technology ,Consumer Durables ,Cement ,Chemicals ,Information Technology
2018-02-20,394.899993896484,1199.25,1126.40002441406,531.700012207031,3049.85009765625,1638.75,5014.2998046875,383.890380859375,453.049987792969,2367.05004882812,603.450012207031,1013.90002441406,2163.64990234375,2691.63989257812,1118.65002441406,453.725006103516,1811.75,931.599975585938,3477.44995117187,248.800003051758,1331.80004882813,317.25,1622.69995117187,568.474975585938,263.25,305.600006103516,1045.80004882813,1290.59997558594,709,8722.650390625,7572.64990234375,136.83332824707,187,146.250030517578,912.450866699219,269.649993896484,16930.849609375,559.5,369.299987792969,651.299987792969,1472.375,262.850006103516,574.200012207031,832.25,4140.60009765625,463.566680908203,218.587554931641
2018-02-21,395.600006103516,1211.19995117188,1127.19995117188,535.799987792969,3012.60009765625,1596.44995117188,4973.4501953125,385.313568115234,447.549987792969,2384.875,597.25,1006.75,2165.89990234375,2736.57495117187,1110.59997558594,471.450012207031,1824.80004882813,928.700012207031,3490.75,240.649993896484,1330.59997558594,319.200012207031,1594.25,573.700012207031,268.200012207031,298.299987792969,1055.05004882813,1282.80004882813,708.400024414063,8782.75,7597.5498046875,135.25,190.149993896484,145.462539672852,920.623413085938,273.299987792969,17004.5,525.75,364.450012207031,640.950012207031,1521.15002441406,266.600006103516,595.200012207031,822.900024414063,4131.5498046875,458.833343505859,219.150054931641
2018-02-22,404,1246.44995117188,1118.09997558594,530.25,2974.30004882813,1600.34997558594,4951.85009765625,382.054016113281,427.450012207031,2427.92504882813,589.650024414063,1019.25,2123.44995117187,2686.85009765625,1110.40002441406,470.5,1819.25,926.599975585938,3481.19995117188,239.899993896484,1326.44995117188,318.350006103516,1623.5,580.375,267.100006103516,297.700012207031,1072.5,1292,721.950012207031,8634.0498046875,7543.2998046875,133.95832824707,186.100006103516,142.687530517578,915.670349121094,272.600006103516,16729.55078125,541.450012207031,358.5,637.549987792969,1525.09997558594,262.149993896484,602.599975585938,817.5,4099.89990234375,450.299987792969,219.487548828125
2018-02-23,406.5,1231.59997558594,1101.80004882813,536.650024414063,2986.39990234375,1633.40002441406,5019.64990234375,390.730804443359,429.899993896484,2480.94995117187,595.650024414063,1050.09997558594,2167.05004882812,2672.43994140625,1136.69995117188,477.799987792969,1824.19995117188,940.275024414063,3494.69995117187,246.550003051758,1323.15002441406,322.75,1643.5,577.825012207031,269.049987792969,306.950012207031,1080.84997558594,1301.69995117188,718.650024414063,8698.7998046875,7582.7998046875,136.29167175293,189.800003051758,144.937530517578,925.477416992188,276.049987792969,17219.5,569.650024414063,360.200012207031,677.75,1537.90002441406,270.700012207031,621.450012207031,814.200012207031,4116.39990234375,467.033325195313,221.250061035156
2018-02-26,415.049987792969,1235.55004882813,1104.80004882813,552.299987792969,3008.69995117187,1674.94995117188,5192.9501953125,388.527191162109,433,2482.375,590.099975585938,1035.34997558594,2193.80004882812,2718.59497070312,1180.59997558594,473.024993896484,1843.25,955.775024414062,3537.85009765625,246.199996948242,1333.30004882813,327.049987792969,1691.30004882813,569.299987792969,266.549987792969,316.100006103516,1105.15002441406,1344.25,735.400024414063,9005.349609375,7625.25,135.79167175293,190.350006103516,147.112533569336,929.885620117187,274.450012207031,16988.400390625,555.950012207031,372.049987792969,680.200012207031,1515.84997558594,273.5,612.450012207031,819.700012207031,4140.7998046875,480.333343505859,218.700057983398
2018-02-27,410.450012207031,1196.69995117188,1110.34997558594,538.400024414063,3034.69995117187,1656.80004882813,5121.35009765625,395.275787353516,426.950012207031,2476.125,586.5,1035.55004882813,2236,2715.46508789062,1171.94995117188,474.950012207031,1828.65002441406,951.275024414062,3585.5,244.300003051758,1346.34997558594,322.149993896484,1685.19995117187,575.099975585938,266.399993896484,318.100006103516,1093.05004882813,1338.09997558594,739.799987792969,8891.2001953125,7759.9501953125,137.95832824707,188.5,148.312530517578,941.574829101563,267.600006103516,16859.900390625,544.799987792969,372.549987792969,671.75,1521.17504882813,275,610.549987792969,822.599975585938,4176.10009765625,480.766662597656,218.812561035156
2018-02-28,408.350006103516,1203.05004882813,1117.75,528.75,3020.60009765625,1640.25,5051.7001953125,393.4853515625,429.549987792969,2497.125,589.650024414063,1025.90002441406,2237.25,2743.77490234375,1152.69995117188,470.149993896484,1808.69995117188,942.099975585938,3596.69995117188,245.399993896484,1317.75,313.25,1680.75,586.299987792969,265.049987792969,312.200012207031,1090.55004882813,1318.15002441406,728.349975585938,8850.9501953125,7761.64990234375,136.04167175293,188.300003051758,148.275039672852,945.586791992188,268,16623.44921875,535.349975585938,369.899993896484,671.599975585938,1517.52502441406,275.5,612.650024414063,816.150024414062,4155.60009765625,485.833343505859,219.600051879883
2018-03-01,406.100006103516,1183.5,1118.90002441406,525.75,3020.89990234375,1659.34997558594,4999.39990234375,392.750793457031,441.899993896484,2471.92504882812,581.700012207031,1018.45001220703,2231.5,2774.23510742187,1166.59997558594,471.399993896484,1814.15002441406,937.174987792969,3576.89990234375,240.800003051758,1324.25,304.950012207031,1700.34997558594,580.375,264,305.5,1095.69995117188,1315.19995117188,732.549987792969,8873.4501953125,7849.39990234375,135.83332824707,189.699996948242,148.050033569336,939.494506835938,262.149993896484,16595.349609375,535.400024414063,370.75,675.049987792969,1518.84997558594,274.850006103516,611.900024414063,810.200012207031,4153.2998046875,476.166656494141,219.375061035156
2018-03-05,403.950012207031,1167.90002441406,1105.94995117187,524.549987792969,2943.55004882813,1636.94995117188,5037.4501953125,386.966278076172,434.299987792969,2451.22509765625,579.25,1012.09997558594,2180.80004882813,2754.8349609375,1141.75,466.049987792969,1789.59997558594,934.974975585937,3556.44995117187,229.600006103516,1299.75,303.350006103516,1689.19995117188,577.950012207031,260.25,291.649993896484,1100,1300.69995117188,739.599975585938,8795.099609375,7714,136.08332824707,185.550003051758,147.712539672852,915.422729492187,263.5,16626.099609375,548.549987792969,352.049987792969,655.900024414063,1552.92504882813,275.649993896484,630.849975585938,808.900024414062,4095.39990234375,480.600006103516,218.212554931641
2018-03-06,405.25,1160.80004882813,1101.59997558594,517.349975585938,2899.19995117187,1637.75,4980.64990234375,380.034027099609,445.200012207031,2412.60009765625,584.099975585938,1013.70001220703,2176.44995117187,2748.84497070312,1133.94995117188,466.399993896484,1782.80004882813,923.125,3561.89990234375,225.850006103516,1293.19995117188,295.049987792969,1710.30004882813,575.674987792969,256.5,293.5,1082.44995117188,1283.40002441406,719.900024414063,8616.5,7688.85009765625,136.125,185.399993896484,144.862533569336,902.297119140625,256.549987792969,16645.900390625,531.75,346.5,659.75,1521.40002441406,274.149993896484,617.25,807.650024414063,4150.2998046875,468.266662597656,215.212554931641
