Date,Shanghai Pudong Development Bank,China Petroleum & Chemical Corporation,CITIC Securities,Sany Heavy Industries,China Merchants Bank,Poly Real Estate,China United Network Communications,SAIC Motor,Shanghai Fosun Pharmaceutical,Jiangsu Hengrui Pharmaceuticals,Wanhua Chemical Group,Zhangzhou Pientzehuang Pharmaceutical,Tongwei Company,Kweichow Moutai,Shandong Gold Mining,Hundsun Technologies,Anhui Conch Cement,Yonyou Network Technology,Haier Smart Home,Wingtech Technology [zh],Shanxi Xinghuacun Fen Wine Factory,Haitong Securities,Yili Group,AECC Aviation Power [zh],China Yangtze Power,China Shenhua Energy,Industrial Bank,Ping An Insurance,Industrial and Commercial Bank of China,China Pacific Insurance,China Life Insurance,PetroChina,Zijin Mining Group,Cosco Shipping
Sector,Banking,Oil & gas,Financial services,None,Banking,Real estate,Telecommunication,Automotive,Pharmaceutical,Pharmaceutical,Chemical,Pharmaceutical,None,Beverages,Mining,None,None,None,None,None,None,Financial services,Dairy,None,None,Energy,Banking,Insurance,Banking,Insurance,Insurance,Oil & gas,Mining,None
2017-05-05,11.4769229888916,5.6399998664856,15.7799997329712,6.98999977111816,18.7999992370605,9.35999965667725,7.46999979019165,27.9799995422363,29.9200000762939,20.2694683074951,22.25,53.3899993896484,6.44000005722046,416.190002441406,18.4285717010498,15.8241748809814,20.1299991607666,7.72416877746582,13.1400003433228,20.9699993133545,22.1499996185303,14.5900001525879,18.3400001525879,32.7299995422363,14.0600004196167,19.7800006866455,15.3800001144409,37.2599983215332,4.8600001335144,27.3400001525879,25.7700004577637,7.55000019073486,3.29999995231628,4.18461513519287
2017-05-08,11.4307689666748,5.71999979019165,15.6599998474121,6.88000011444092,18.7900009155273,9.32999992370606,7.46999979019165,28.0799999237061,30.0200004577637,20.299144744873,22.4583320617676,53.5099983215332,6.34000015258789,405.480010986328,18.4285717010498,16.1411666870117,20.2299995422363,7.67865180969238,13.2299995422363,20.3600006103516,21.6285705566406,14.6800003051758,18.4200000762939,31.0799999237061,14.1599998474121,19.8799991607666,15.3999996185303,37.7900009155273,4.90000009536743,27.5499992370605,26.3600006103516,7.48000001907349,3.28999996185303,4.09999990463257
2017-05-09,11.3538455963135,5.71000003814697,15.6000003814697,6.82000017166138,18.7900009155273,9.31999969482422,7.46999979019165,27.1900005340576,29.3099994659424,20.1730175018311,22.7916660308838,53.7000007629395,6.34999990463257,408.760009765625,18.4285717010498,16.3651733398438,19.8999996185303,7.59672212600708,12.8599996566772,20.8099994659424,21.6499996185303,14.5299997329712,17.4099998474121,30.6599998474121,13.9700002670288,19.7399997711182,15.4399995803833,37.9900016784668,4.86999988555908,27.3400001525879,26.1700000762939,7.48999977111816,3.26999998092651,4.13076877593994
2017-05-10,11.2384605407715,5.71000003814697,15.4799995422363,6.61999988555908,19.0200004577637,9.17000007629395,7.46999979019165,27.2000007629395,29.9799995422363,20.5365619659424,22.0833320617676,53.5099983215332,6.01999998092651,410.089996337891,18.4285717010498,15.845308303833,19.9400005340576,7.30541610717773,12.8500003814697,20.1399993896484,20.9357147216797,14.5100002288818,17.4200000762939,27.5900001525879,13.9700002670288,19.7299995422363,15.4200000762939,39.8400001525879,4.90000009536743,27.8899993896484,27.1000003814697,7.44000005722046,3.23000001907349,4.01538419723511
2017-05-11,11.3461532592773,5.80000019073486,15.5200004577637,6.59999990463257,19.2600002288818,9.18000030517578,7.46999979019165,27.5499992370605,30.1599998474121,20.7443008422852,22.3083324432373,53.6199989318848,5.76999998092651,412.160003662109,18.4285717010498,15.6255283355713,20.0100002288818,6.91397285461426,13.2399997711182,18.8899993896484,20.9214286804199,14.7600002288818,17.5799999237061,27.0499992370605,14.1000003814697,19.7800006866455,15.5699996948242,39.7700004577637,4.92999982833862,27.9899997711182,27.0200004577637,7.61999988555908,3.20000004768372,4.00769186019897
2017-05-12,11.6999998092651,5.86999988555908,15.6499996185303,6.67000007629395,20.3400001525879,9.1899995803833,7.46999979019165,28.0200004577637,31.1800003051758,20.7591400146484,22.3999996185303,55.6399993896484,5.6399998664856,413.470001220703,18.4285717010498,15.4733724594116,19.9599990844727,6.7455620765686,13.1499996185303,18.8700008392334,20.6571426391602,14.75,17.5400009155273,26.3799991607666,14.1199998855591,19.7099990844727,15.9200000762939,40.9500007629395,5.05999994277954,28.9899997711182,27.75,7.59999990463257,3.20000004768372,4.0846152305603
2017-05-15,11.7461528778076,5.90000009536743,15.8100004196167,6.69999980926514,20.6700000762939,9.26000022888184,7.46999979019165,27.9699993133545,31.4500007629395,20.9594612121582,23.3083324432373,55.9199981689453,5.65000009536743,419.549987792969,18.4285717010498,15.4691457748413,20.5300006866455,6.73190689086914,13.1700000762939,19.0799999237061,21.2785701751709,14.9700002670288,18.1299991607666,26.3600006103516,14.210000038147,20.2700004577637,15.8900003433228,40.9000015258789,5.09999990463257,28.7700004577637,27.1399993896484,7.69999980926514,3.21000003814697,4.09230709075928
2017-05-16,11.7461528778076,5.86999988555908,15.8400001525879,6.75,20.4899997711182,9.27999973297119,7.46999979019165,28.2800006866455,31.8600006103516,21.4491329193115,23.5916652679443,56.4900016784668,5.76999998092651,430.119995117188,18.4285717010498,15.9721040725708,20.6800003051758,7.01866102218628,13.3000001907349,19.75,22.1928577423096,14.8999996185303,18.3400001525879,26.75,14.3299999237061,20.2099990844727,15.8500003814697,41.0900001525879,5,28.6900005340576,27.0699996948242,7.69000005722046,3.25,4.11538410186768
2017-05-17,11.6999998092651,5.78999996185303,15.8400001525879,6.73999977111816,20.1900005340576,9.21000003814697,7.46999979019165,28.1700000762939,30.3299999237061,21.3081665039063,23.7000007629395,55.3699989318848,5.80999994277954,426.600006103516,18.4285717010498,16.1411666870117,20.6100006103516,6.91852521896362,13.1300001144409,19.6299991607666,22.1214275360107,14.7299995422363,18.2000007629395,27.2399997711182,14.1999998092651,20.0499992370605,15.7299995422363,40.4199981689453,4.96000003814697,28.0799999237061,26.2900009155273,7.59000015258789,3.24000000953674,4.11538410186768
2017-05-18,11.5461530685425,5.80999994277954,15.6800003051758,6.73000001907349,20.25,9.22000026702881,7.46999979019165,28.0699996948242,30.4599990844727,21.8238067626953,23.6900005340576,54.6100006103516,5.76000022888184,429.540008544922,16.5867347717285,15.9298391342163,20.75,7.22803783416748,13.1499996185303,19.6200008392334,22.107141494751,14.4799995422363,18.3500003814697,26.7900009155273,14.2399997711182,19.8600006103516,15.6099996566772,40.6199989318848,5,27.8299999237061,26.2399997711182,7.61999988555908,3.26999998092651,4.11538410186768
2017-05-19,11.5538463592529,5.84000015258789,15.710000038147,6.69999980926514,20.5300006866455,9.31999969482422,7.46999979019165,28.4799995422363,30.6700000762939,21.7867107391357,23.1299991607666,55.1300010681152,5.80000019073486,440.820007324219,15.4591827392578,16.1115798950195,20.7099990844727,7.28265810012817,13.3199996948242,19.3600006103516,21.7857131958008,14.4099998474121,18.8600006103516,26.6299991607666,14.289999961853,19.9799995422363,15.5900001525879,41.0099983215332,4.98000001907349,27.8400001525879,26.2399997711182,7.59999990463257,3.24000000953674,4.11538410186768
2017-05-22,11.5692300796509,5.94999980926514,15.5500001907349,6.69999980926514,20.8899993896484,9.3100004196167,7.46999979019165,28.7900009155273,31.0599994659424,22.005578994751,23.1499996185303,55.9599990844727,5.69999980926514,441.779998779297,15.3316316604614,15.5621299743652,20.9500007629395,7.01866102218628,13.4899997711182,19.0799999237061,21.0928573608398,14.5799999237061,19.25,25.9899997711182,14.5600004196167,20.1499996185303,15.6899995803833,42.8400001525879,5.03000020980835,28.6299991607666,27.0799999237061,7.69000005722046,3.23000001907349,4.11538410186768
2017-05-23,11.8692302703857,6,15.7299995422363,6.69999980926514,21.8299999237061,9.34000015258789,7.46999979019165,29.2299995422363,31.5,22.3320274353027,23.9099998474121,56.8899993896484,5.32999992370606,454.200012207031,14.6224479675293,15.240912437439,21.2600002288818,6.90031814575195,13.6899995803833,18.7700004577637,22.9928569793701,14.7600002288818,19.3299999237061,24.8700008392334,14.7600002288818,20.9699993133545,15.9399995803833,43.1699981689453,5.09999990463257,29.0499992370605,27.9300003051758,7.78999996185303,3.26999998092651,4.11538410186768
2017-05-24,11.8999996185303,5.98000001907349,15.789999961853,6.69000005722046,21.9099998474121,9.38000011444092,7.46999979019165,29.3999996185303,31.6599998474121,22.2986392974853,23.8999996185303,55.189998626709,5.44000005722046,450.320007324219,14.0408163070679,15.5156383514404,20.9699993133545,6.85024976730347,13.710000038147,18.9200000762939,22.4285717010498,14.7299995422363,18.8700008392334,24.9300003051758,14.7799997329712,21.0900001525879,16.0200004577637,43.0299987792969,5.1100001335144,28.8400001525879,27.4500007629395,7.75,3.25,4.11538410186768
2017-05-25,12.9300003051758,6.15999984741211,16.4099998474121,6.84000015258789,22.9500007629395,9.71000003814697,7.46999979019165,29.3400001525879,31.2999992370605,21.7384853363037,24.0200004577637,54.7900009155273,5.48999977111816,450.600006103516,14.1173458099365,15.8833465576172,21.0400009155273,6.90487003326416,13.6099996566772,18.9699993133545,22.4857139587402,15.0900001525879,19.3099994659424,24.9699993133545,14.6899995803833,21.4400005340576,16.5699996948242,45.4900016784668,5.15999984741211,29.75,28.6599998474121,7.86999988555908,3.26999998092651,4.11538410186768
2017-05-26,12.8400001525879,6.1399998664856,16.3899993896484,6.90999984741211,22.6399993896484,9.56999969482422,7.46999979019165,29.6200008392334,31.0300006866455,21.8460636138916,23.1100006103516,54.0800018310547,5.5,451.920013427734,14.5357141494751,15.8495349884033,21.1399993896484,6.94583511352539,13.960000038147,19.1000003814697,22.5357131958008,15.1300001144409,19.5100002288818,24.5799999237061,14.6400003433228,21.5499992370605,16.5,45.1800003051758,5.23000001907349,29.9400005340576,28.5799999237061,7.80000019073486,3.27999997138977,4.11538410186768
2017-05-31,12.8400001525879,6.26999998092651,16.4400005340576,6.90000009536743,22.4200000762939,9.6899995803833,7.46999979019165,30.0699996948242,31.6800003051758,22.1643505096436,23.1299991607666,53.4599990844727,5.5,442.940002441406,14.5663261413574,15.7988157272339,21.3299999237061,6.90487003326416,14.1700000762939,19.1000003814697,22.0785713195801,15.3000001907349,19.4099998474121,24.5599994659424,14.8100004196167,21.4200000762939,16.5499992370605,45.0699996948242,5.25,30.3500003814697,28.0799999237061,7.82000017166138,3.27999997138977,4.11538410186768
2017-06-01,12.9200000762939,6.32999992370606,16.3700008392334,6.96999979019165,22.5900001525879,9.76000022888184,7.46999979019165,30.5200004577637,32.1800003051758,22.5961532592773,22.6100006103516,54.560001373291,5.25,449.279998779297,14.1275510787964,15.2831783294678,21.5,6.57259798049927,14.3800001144409,19.1000003814697,22.1785717010498,15.1099996566772,19.4400005340576,24,15.0299997329712,21.7199993133545,16.5799999237061,45.9700012207031,5.30999994277954,30.7900009155273,28.6800003051758,7.84999990463257,3.26999998092651,4.11538410186768
2017-06-02,12.8900003433228,6.26000022888184,16.3799991607666,6.92999982833862,22.1599998474121,9.72999954223633,7.46999979019165,30.2900009155273,31.8899993896484,22.2934474945068,22.6900005340576,54.0900001525879,5.30000019073486,447.309997558594,14.204080581665,15.7988157272339,21.3600006103516,6.53618478775024,14.3000001907349,19.1000003814697,21.8785705566406,15.0299997329712,19.2000007629395,23.9500007629395,14.9799995422363,22.2900009155273,16.4300003051758,44.9599990844727,5.30000019073486,30.1000003814697,28.1100006103516,7.76999998092651,3.25999999046326,4.11538410186768
2017-06-05,12.8500003814697,6.11999988555908,16.2099990844727,6.88000011444092,21.9799995422363,9.6899995803833,7.46999979019165,29.2299995422363,31.4500007629395,21.7102928161621,22.7700004577637,54.3800010681152,5.34000015258789,444.410003662109,15.0102043151855,15.9890098571777,21.2800006866455,6.60445976257324,14.2299995422363,19.1000003814697,21.8642845153809,15,18.9899997711182,24.1499996185303,14.7799997329712,22.2900009155273,16.2800006866455,44.6699981689453,5.1399998664856,29.3999996185303,27.5,7.73999977111816,3.27999997138977,4.11538410186768
2017-06-06,12.8000001907349,6.09000015258789,16.25,6.84999990463257,21.9300003051758,9.82999992370606,7.46999979019165,30.2000007629395,31.9799995422363,22.0308036804199,22.7600002288818,54.939998626709,5.38000011444092,448.820007324219,15.1020402908325,16.8300914764404,21.3700008392334,6.89576578140259,14.6499996185303,19.1000003814697,22.5928573608398,14.9799995422363,19.2999992370605,25.3500003814697,14.7799997329712,22.2900009155273,16.2700004577637,46.0299987792969,5.1399998664856,29.5400009155273,27.6200008392334,7.71999979019165,3.29999995231628,4.11538410186768
2017-06-07,12.8400001525879,6.09000015258789,16.3700008392334,6.96999979019165,22.5200004577637,9.85999965667725,7.46999979019165,30.0699996948242,32.6199989318848,22.4091873168945,24.4400005340576,55.4700012207031,5.48000001907349,459.369995117187,15.1989793777466,17.003381729126,21.7399997711182,6.98224782943726,14.6599998474121,19.1000003814697,23.0928573608398,14.9899997711182,19.25,26.1000003814697,14.8000001907349,22.2900009155273,16.4400005340576,45.9799995422363,5.15999984741211,30.6599998474121,27.4899997711182,7.75,3.3199999332428,4.11538410186768
2017-06-08,12.8400001525879,6.1399998664856,16.4400005340576,6.96000003814697,22.7399997711182,10.0500001907349,7.46999979019165,30.8799991607666,33.2900009155273,22.8187313079834,24.5699996948242,56.5900001525879,5.44999980926514,464.309997558594,15.0153064727783,17.9289932250977,21.8999996185303,7.10969495773315,15.0500001907349,19.1000003814697,24.107141494751,14.9799995422363,20.4799995422363,26.3999996185303,15.0500001907349,22.2900009155273,16.4899997711182,47.6199989318848,5.15999984741211,31.2199993133545,28.5,7.73000001907349,3.28999996185303,4.11538410186768
2017-06-09,12.9300003051758,6.1100001335144,16.5699996948242,7.30000019073486,22.9099998474121,9.68000030517578,7.46999979019165,30.9400005340576,33.060001373291,22.7653121948242,24.7800006866455,56.5699996948242,5.48000001907349,465.739990234375,14.7806119918823,17.836009979248,22.0100002288818,7.00500583648682,15.0100002288818,19.1000003814697,24.4928569793701,14.960000038147,20.4300003051758,26.8299999237061,14.8800001144409,22.2900009155273,16.6200008392334,48.1399993896484,5.15999984741211,32.0900001525879,28.4599990844727,7.73000001907349,3.29999995231628,4.11538410186768
2017-06-12,12.7799997329712,6.1100001335144,16.4300003051758,7.28999996185303,22.8400001525879,9.68000030517578,7.46999979019165,31.25,33.1399993896484,22.8053760528564,25.6599998474121,56.4000015258789,5.3899998664856,472.880004882813,14.8214282989502,17.8782749176025,22.0699996948242,7.00500583648682,15.0699996948242,19.1000003814697,25.1000003814697,14.8599996566772,20.5200004577637,27,14.8900003433228,22.2900009155273,16.6200008392334,48.9300003051758,5.15000009536743,32.7400016784668,29,7.6399998664856,3.25,4.11538410186768
2017-06-13,12.5900001525879,6.05000019073486,16.4200000762939,7.32000017166138,22.4899997711182,9.68000030517578,7.46999979019165,32.689998626709,33.4000015258789,22.6139602661133,25.8199996948242,56.9300003051758,5.42000007629395,473.040008544922,14.9183673858643,18.1234149932861,22.0799999237061,7.10059118270874,15.0200004577637,19.1000003814697,25.1499996185303,14.8299999237061,20.5499992370605,26.7099990844727,14.6999998092651,22.2900009155273,16.5400009155273,48.439998626709,5.15000009536743,32.7999992370605,28.4799995422363,7.65000009536743,3.30999994277954,4.11538410186768
2017-06-14,12.460000038147,5.98000001907349,16.3500003814697,7.32999992370606,21.2999992370605,9.43000030517578,7.46999979019165,32.0400009155273,32.4099998474121,22.6228637695313,25.1800003051758,55.439998626709,5.42000007629395,474.390014648438,15.0255098342896,17.7895183563232,21.2299995422363,7.25079584121704,14.3500003814697,18.6499996185303,25.33571434021,14.8100004196167,20,26.8199996948242,14.5299997329712,22.2900009155273,15.9200000762939,47.2099990844727,5.15000009536743,31.6900005340576,27.4899997711182,7.65999984741211,3.30999994277954,4.11538410186768
2017-06-15,12.3800001144409,5.92000007629395,16.4599990844727,7.34000015258789,20.9300003051758,9.42000007629395,7.46999979019165,31.8199996948242,32.0499992370605,22.4893169403076,24.9200000762939,55.4700012207031,5.53000020980835,464.299987792969,14.8826532363892,18.9687232971191,21.1800003051758,7.2735538482666,14.0900001525879,18.8500003814697,24.5285701751709,14.8999996185303,19.9099998474121,27.0900001525879,14.3999996185303,22.2900009155273,15.8000001907349,46.1800003051758,5.05000019073486,31.5200004577637,27.1399993896484,7.65000009536743,3.34999990463257,4.11538410186768
2017-06-16,12.3500003814697,5.92999982833862,16.3099994659424,7.26000022888184,20.8099994659424,9.39000034332275,7.46999979019165,29.1499996185303,32.0200004577637,22.8632469177246,25.3299999237061,55.0099983215332,5.65000009536743,462.630004882813,14.6989793777466,18.6010131835938,20.9500007629395,7.61948108673096,14,19.4099998474121,24.4785709381104,14.8500003814697,19.8299999237061,27.2999992370605,14.3999996185303,22.2900009155273,15.789999961853,46.7000007629395,5.03999996185303,31.6399993896484,26.8299999237061,7.65000009536743,3.34999990463257,4.11538410186768
2017-06-19,12.3500003814697,5.92999982833862,16.7099990844727,7.26000022888184,20.8099994659424,9.44999980926514,7.46999979019165,29.1499996185303,32.0200004577637,22.8632469177246,25.4500007629395,55.0099983215332,5.59999990463257,470.170013427734,14.6989793777466,18.5967864990234,21.0799999237061,7.65134191513062,14.210000038147,19.4099998474121,24.4785709381104,14.8500003814697,20.0100002288818,27.2999992370605,14.5299997329712,22.2900009155273,15.789999961853,46.7000007629395,5.03999996185303,32.1800003051758,27.1299991607666,7.65000009536743,3.34999990463257,4.11538410186768
2017-06-20,12.289999961853,5.94000005722046,16.6800003051758,7.44000005722046,21.0799999237061,9.38000011444092,7.46999979019165,29.0499992370605,31.8999996185303,21.9462242126465,25.4099998474121,55.9900016784668,5.6100001335144,466.299987792969,14.7602043151855,18.6855449676514,21.0900001525879,7.82430505752564,13.960000038147,19.3500003814697,24.0142841339111,15,19.8199996948242,28,14.5600004196167,22.2900009155273,15.8800001144409,48.0999984741211,5.03999996185303,31.6800003051758,26.5400009155273,7.69999980926514,3.32999992370605,4.11538410186768
2017-06-21,12.3400001525879,5.94000005722046,16.7700004577637,7.44999980926514,21.3099994659424,9.60000038146973,7.46999979019165,29.9699993133545,32.7999992370605,22.2533836364746,26.5,58.2400016784668,5.61999988555908,472.709991455078,14.75,18.9560432434082,20.8400001525879,7.86527013778687,14.6499996185303,19.3799991607666,25.1000003814697,14.9799995422363,20.5900001525879,27.9500007629395,14.710000038147,22.2900009155273,15.9399995803833,49.4300003051758,5.05000019073486,32.2299995422363,26.7900009155273,7.71999979019165,3.33999991416931,4.11538410186768
2017-06-22,12.5699996948242,5.96999979019165,16.8999996185303,7.59999990463257,22.7299995422363,9.60999965667725,7.46999979019165,30.1100006103516,30.1700000762939,22.0397071838379,26.0699996948242,56.6699981689453,5.5,472.75,14.9132652282715,17.9543533325195,21,7.62403202056885,14.3000001907349,19.0100002288818,24.9428577423096,15.039999961853,20.6399993896484,27.4200000762939,14.8100004196167,22.2900009155273,16.1900005340576,49.1399993896484,5.09999990463257,33.2099990844727,27.4599990844727,7.69000005722046,3.34999990463257,4.11538410186768
2017-06-23,12.6400003433228,6.01000022888184,16.9400005340576,7.73999977111816,23.0300006866455,9.98999977111816,7.46999979019165,30.2900009155273,31.1800003051758,22.3157043457031,27.0400009155273,60.310001373291,5.5,472.730010986328,14.8163261413574,18.4023666381836,21.25,7.4101037979126,14.8000001907349,19.1200008392334,25.2285709381103,14.8199996948242,20.9699993133545,27.1800003051758,14.8800001144409,22.2900009155273,16.2999992370605,49.7200012207031,5.1399998664856,33.25,27.6800003051758,7.73999977111816,3.35999989509583,4.11538410186768
2017-06-26,12.6400003433228,6,17.2600002288818,8.28999996185303,23.0400009155273,10.2399997711182,7.46999979019165,31.1299991607666,31.5599994659424,22.7430553436279,27.8899993896484,60.7200012207031,5.59000015258789,484.679992675781,14.8520402908325,18.9983081817627,21.7199993133545,7.69230699539185,15.1999998092651,19.0699996948242,25.6571426391602,14.8999996185303,20.9099998474121,28,14.9499998092651,22.2900009155273,16.3700008392334,49.7200012207031,5.1100001335144,33.6399993896484,27.3700008392334,7.73000001907349,3.36999988555908,4.11538410186768
2017-06-27,12.6999998092651,5.90000009536743,17.1100006103516,8.31999969482422,24.3600006103516,10.1700000762939,7.46999979019165,31.2900009155273,31.25,22.7475070953369,27.7900009155273,60.4000015258789,5.59000015258789,484.100006103516,14.8826532363892,19.1673717498779,21.5799999237061,7.69230699539185,15.2399997711182,19.4500007629395,25.2785701751709,14.8299999237061,21.2999992370605,28.2399997711182,15.0100002288818,22.2900009155273,16.4699993133545,49.9199981689453,5.09000015258789,33.8499984741211,27.1200008392334,7.69999980926514,3.35999989509583,4.11538410186768
2017-06-28,12.789999961853,5.90999984741211,17.0900001525879,8.14000034332275,23.7999992370605,10.0200004577637,7.46999979019165,30.7700004577637,30.7999992370605,22.3023490905762,28.9799995422363,59.060001373291,5.53000020980835,475.299987792969,14.8928565979004,18.939136505127,21.6000003814697,7.51934385299683,15,19.3899993896484,24.7071418762207,14.8000001907349,20.7900009155273,27.4099998474121,15,22.2900009155273,16.8199996948242,48.6100006103516,5.07000017166138,32.9300003051758,26.6800003051758,7.69000005722046,3.36999988555908,4.11538410186768
2017-06-29,12.7600002288818,5.92000007629395,17.0900001525879,8.17000007629395,24.1499996185303,10.0699996948242,7.46999979019165,30.7399997711182,30.7199993133545,22.5338306427002,28.7600002288818,59.6100006103516,5.53999996185303,473.010009765625,14.8469381332397,19.8816566467285,22.6800003051758,7.75147914886475,15.039999961853,19.0200004577637,24.9714279174805,14.8500003814697,21.4799995422363,27.6100006103516,15.1899995803833,22.2900009155273,16.8899993896484,49.9599990844727,5.17999982833862,33.75,26.8099994659424,7.69000005722046,3.39000010490417,4.11538410186768
